date,verse_url,reference
2014-06-01T01:42:36.207000+00:00,1/EXO.22.3,Exodus 22:3
2014-06-01T01:50:44.560000+00:00,1/EXO.22.21,Exodus 22:21
2014-06-01T01:55:22.451000+00:00,1/EXO.23.3,Exodus 23:3
2014-06-01T01:29:23.659000+00:00,1/EXO.21.2,Exodus 21:2
2014-06-01T01:33:10.558000+00:00,1/EXO.21.16,Exodus 21:16
2014-06-01T01:58:48.732000+00:00,1/EXO.23.6,Exodus 23:6
2014-06-01T02:02:11.638000+00:00,1/EXO.23.25,Exodus 23:25
2014-06-01T16:12:22.465000+00:00,1/LEV.8.12,Leviticus 8:12
2014-06-01T16:38:15.331000+00:00,1/LEV.10.16,Leviticus 10:16
2014-06-02T05:42:58.507000+00:00,1/LEV.19.9,Leviticus 19:9
2014-06-02T05:44:58.560000+00:00,1/LEV.19.17,Leviticus 19:17
2014-06-02T05:50:25.703000+00:00,1/LEV.19.33,Leviticus 19:33
2014-06-02T06:06:55.745000+00:00,1/LEV.22.28,Leviticus 22:28
2014-06-02T05:43:42.806000+00:00,1/LEV.19.14,Leviticus 19:14
2014-06-02T06:10:16.090000+00:00,1/LEV.23.22,Leviticus 23:22
2014-06-02T12:13:01.071000+00:00,1/LEV.25.39,Leviticus 25:39
2014-06-02T12:15:06.649000+00:00,1/LEV.26.4,Leviticus 26:4
2014-06-02T12:21:23.059000+00:00,1/LEV.26.26,Leviticus 26:26
2014-06-03T13:17:40.365000+00:00,1/NUM.6.24,Numbers 6:24
2014-06-04T04:51:31.445000+00:00,114/NUM.10.11,Numbers 10:11
2014-06-04T05:11:33.907000+00:00,1/NUM.14.2,Numbers 14:2
2014-06-04T05:13:19.490000+00:00,1/NUM.14.21,Numbers 14:21
2014-06-04T13:20:08.814000+00:00,1/NUM.16.34,Numbers 16:34
2014-06-04T13:22:44.504000+00:00,1/NUM.16.22,Numbers 16:22
2014-06-05T14:10:36.051000+00:00,1/NUM.21.31,Numbers 21:31
2014-06-05T14:13:58.189000+00:00,1/NUM.21.17,Numbers 21:17
2014-06-06T04:48:32+00:00,1/NUM.22.29,Numbers 22:29
2014-06-06T05:00:56+00:00,1/NUM.23.19,Numbers 23:19
2014-06-06T05:04:09+00:00,1/NUM.24.2,Numbers 24:2
2014-06-06T05:09:39+00:00,1/NUM.24.17,Numbers 24:17
2014-06-06T13:17:31+00:00,1/NUM.27.1,Numbers 27:1
2014-06-06T13:19:07+00:00,1/NUM.27.18,Numbers 27:18
2014-06-06T22:40:37+00:00,1/NUM.30.3,Numbers 30:3
2014-06-06T22:44:41+00:00,1/NUM.31.23,Numbers 31:23
2014-06-06T23:06:24+00:00,1/NUM.33.3,Numbers 33:3
2014-06-07T00:13:05+00:00,1/NUM.35.33,Numbers 35:33
2014-06-07T00:18:09+00:00,1/DEU.1.2,Deuteronomy 1:2
2014-06-07T00:25:25+00:00,1/DEU.1.28,Deuteronomy 1:28
2014-06-07T00:47:20+00:00,1/DEU.2.10,Deuteronomy 2:10
2014-06-07T00:48:54+00:00,1/DEU.2.13,Deuteronomy 2:13
2014-06-07T00:49:31+00:00,1/DEU.2.20,Deuteronomy 2:20
2014-06-07T00:53:25+00:00,1/DEU.3.11,Deuteronomy 3:11
2014-06-07T00:55:48+00:00,1/DEU.3.22,Deuteronomy 3:22
2014-06-07T01:03:07+00:00,1/DEU.4.29,Deuteronomy 4:29
2014-06-07T01:23:06+00:00,1/DEU.7.13,Deuteronomy 7:13
2014-06-08T15:02:55+00:00,1/DEU.9.2,Deuteronomy 9:2
2014-06-08T15:11:59+00:00,1/DEU.10.6,Deuteronomy 10:6
2014-06-08T15:15:34+00:00,1/DEU.10.17,Deuteronomy 10:17
2014-06-08T15:20:29+00:00,1/DEU.10.12,Deuteronomy 10:12
2014-06-08T22:32:15+00:00,1/DEU.11.1,Deuteronomy 11:1
2014-06-08T22:34:02+00:00,1/DEU.11.13,Deuteronomy 11:13
2014-06-08T22:35:30+00:00,1/DEU.11.24,Deuteronomy 11:24
